Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Jönköping-Axamos Flygplats;74460;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1965-04-01 00:00:00;2024-09-30 23:59:59;226.0;57.7514;14.0733

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1972-02-01 00:00:01;1972-03-01 00:00:00;1972-02;-1.6;Y
1972-03-01 00:00:01;1972-04-01 00:00:00;1972-03;0.4;Y
1972-04-01 00:00:01;1972-05-01 00:00:00;1972-04;4.1;Y
1972-05-01 00:00:01;1972-06-01 00:00:00;1972-05;8.6;Y
1972-06-01 00:00:01;1972-07-01 00:00:00;1972-06;13.7;Y
1972-07-01 00:00:01;1972-08-01 00:00:00;1972-07;16.6;Y
1972-08-01 00:00:01;1972-09-01 00:00:00;1972-08;13.8;Y
1972-09-01 00:00:01;1972-10-01 00:00:00;1972-09;8.6;Y
1972-10-01 00:00:01;1972-11-01 00:00:00;1972-10;5.8;Y
1972-11-01 00:00:01;1972-12-01 00:00:00;1972-11;2.6;Y
1972-12-01 00:00:01;1973-01-01 00:00:00;1972-12;2.2;Y
1973-01-01 00:00:01;1973-02-01 00:00:00;1973-01;-0.9;Y
1973-02-01 00:00:01;1973-03-01 00:00:00;1973-02;-0.7;Y
1973-03-01 00:00:01;1973-04-01 00:00:00;1973-03;2.8;Y
1973-04-01 00:00:01;1973-05-01 00:00:00;1973-04;2.7;Y
1973-05-01 00:00:01;1973-06-01 00:00:00;1973-05;9.6;Y
1973-06-01 00:00:01;1973-07-01 00:00:00;1973-06;14.5;Y
1973-07-01 00:00:01;1973-08-01 00:00:00;1973-07;17.1;Y
1973-08-01 00:00:01;1973-09-01 00:00:00;1973-08;14.5;Y
1973-09-01 00:00:01;1973-10-01 00:00:00;1973-09;10.2;Y
1973-10-01 00:00:01;1973-11-01 00:00:00;1973-10;3.4;Y
1973-11-01 00:00:01;1973-12-01 00:00:00;1973-11;-1.2;Y
1973-12-01 00:00:01;1974-01-01 00:00:00;1973-12;-2.1;Y
1974-01-01 00:00:01;1974-02-01 00:00:00;1974-01;0.1;Y
1974-02-01 00:00:01;1974-03-01 00:00:00;1974-02;0.5;Y
1974-03-01 00:00:01;1974-04-01 00:00:00;1974-03;0.7;Y
1974-04-01 00:00:01;1974-05-01 00:00:00;1974-04;5.6;Y
1974-05-01 00:00:01;1974-06-01 00:00:00;1974-05;9.0;Y
1974-06-01 00:00:01;1974-07-01 00:00:00;1974-06;13.2;Y
1974-07-01 00:00:01;1974-08-01 00:00:00;1974-07;13.9;Y
1974-08-01 00:00:01;1974-09-01 00:00:00;1974-08;14.2;Y
1974-09-01 00:00:01;1974-10-01 00:00:00;1974-09;11.3;Y
1974-10-01 00:00:01;1974-11-01 00:00:00;1974-10;4.1;Y
1974-11-01 00:00:01;1974-12-01 00:00:00;1974-11;2.7;Y
1974-12-01 00:00:01;1975-01-01 00:00:00;1974-12;1.0;Y
1975-01-01 00:00:01;1975-02-01 00:00:00;1975-01;1.3;Y
1975-02-01 00:00:01;1975-03-01 00:00:00;1975-02;-1.4;Y
1975-03-01 00:00:01;1975-04-01 00:00:00;1975-03;-0.5;Y
1975-04-01 00:00:01;1975-05-01 00:00:00;1975-04;3.1;Y
1975-05-01 00:00:01;1975-06-01 00:00:00;1975-05;10.1;Y
1975-06-01 00:00:01;1975-07-01 00:00:00;1975-06;13.2;Y
1975-07-01 00:00:01;1975-08-01 00:00:00;1975-07;17.0;Y
1975-08-01 00:00:01;1975-09-01 00:00:00;1975-08;18.1;Y
1975-09-01 00:00:01;1975-10-01 00:00:00;1975-09;12.4;Y
1975-10-01 00:00:01;1975-11-01 00:00:00;1975-10;7.0;Y
1975-11-01 00:00:01;1975-12-01 00:00:00;1975-11;1.8;Y
1975-12-01 00:00:01;1976-01-01 00:00:00;1975-12;1.1;Y
1976-01-01 00:00:01;1976-02-01 00:00:00;1976-01;-5.1;Y
1976-02-01 00:00:01;1976-03-01 00:00:00;1976-02;-2.1;Y
1976-03-01 00:00:01;1976-04-01 00:00:00;1976-03;-3.1;Y
1976-04-01 00:00:01;1976-05-01 00:00:00;1976-04;3.3;Y
1976-05-01 00:00:01;1976-06-01 00:00:00;1976-05;9.8;Y
1976-06-01 00:00:01;1976-07-01 00:00:00;1976-06;14.5;Y
1976-07-01 00:00:01;1976-08-01 00:00:00;1976-07;16.8;Y
1976-08-01 00:00:01;1976-09-01 00:00:00;1976-08;14.9;Y
1976-09-01 00:00:01;1976-10-01 00:00:00;1976-09;9.2;Y
1976-10-01 00:00:01;1976-11-01 00:00:00;1976-10;5.3;Y
1976-11-01 00:00:01;1976-12-01 00:00:00;1976-11;2.6;Y
1976-12-01 00:00:01;1977-01-01 00:00:00;1976-12;-4.1;Y
1977-01-01 00:00:01;1977-02-01 00:00:00;1977-01;-3.5;Y
1977-02-01 00:00:01;1977-03-01 00:00:00;1977-02;-4.7;Y
1977-03-01 00:00:01;1977-04-01 00:00:00;1977-03;0.5;Y
1977-04-01 00:00:01;1977-05-01 00:00:00;1977-04;1.9;Y
